date,lux,tem_in,tem_win,sonar_in,sonar_out,move,p,adx,ady,adz,awx,awy,awz,activity
2018-03-20 12:04:13,38,19.4,19.3,89,88,1,10.0,-0.95,0.0,-0.2,-0.92,-0.02,-0.33,
2018-03-20 12:04:13,38,19.4,19.3,89,88,1,10.0,-0.95,0.0,-0.21,-0.92,-0.02,-0.33,
2018-03-20 12:04:14,38,19.4,19.2,87,90,1,11.0,-0.95,0.01,-0.2,-0.92,-0.02,-0.34,
2018-03-20 12:04:14,38,19.4,19.2,90,89,1,11.0,-0.95,0.0,-0.2,-0.92,-0.02,-0.34,
2018-03-20 12:04:14,38,19.4,19.2,92,89,1,10.0,-0.95,0.0,-0.2,-0.92,-0.02,-0.33,
2018-03-20 12:04:15,38,19.4,19.2,89,88,1,10.0,-0.95,0.0,-0.2,-0.92,-0.02,-0.34,
2018-03-20 12:04:15,38,19.4,19.2,90,90,1,10.0,-0.94,0.01,-0.2,-0.92,-0.03,-0.34,
2018-03-20 12:04:16,38,19.4,19.1,89,89,1,10.0,-0.94,0.0,-0.19,-0.92,-0.02,-0.33,
2018-03-20 12:04:16,38,19.4,19.1,88,90,1,10.0,-0.95,0.0,-0.2,-0.92,-0.02,-0.34,
2018-03-20 12:04:16,38,19.4,19.1,91,91,1,10.0,-0.95,-0.0,-0.2,-0.93,-0.02,-0.33,
2018-03-20 12:04:17,38,19.4,19.1,91,91,1,10.0,-0.95,0.01,-0.2,-0.92,-0.02,-0.35,
2018-03-20 12:04:17,37,19.4,19.1,90,89,1,7.0,-0.95,0.0,-0.2,-0.91,-0.02,-0.34,
2018-03-20 12:04:18,38,19.4,19.0,88,90,1,7.0,-0.95,0.0,-0.2,-0.92,-0.02,-0.33,
2018-03-20 12:04:18,38,19.4,19.0,86,89,1,6.0,-0.95,-0.0,-0.21,-0.92,-0.02,-0.33,
2018-03-20 12:04:18,38,19.4,19.0,89,88,1,7.0,-0.95,0.0,-0.21,-0.92,-0.03,-0.34,
2018-03-20 12:04:19,38,19.4,19.0,87,89,1,7.0,-0.95,0.0,-0.21,-0.92,-0.02,-0.32,
